epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9331,2.46651,3.24788,1.34876,0.59577,0.69828,0.67778,0.28828,1.898,1.2669,1.12199,0.000174714,0.000174714,0.000174714
2,171.822,1.87804,1.32461,1.08411,0.66754,0.78871,0.7742,0.3428,1.74895,1.14516,1.06131,0.000349962,0.000349962,0.000349962
3,252.828,1.81006,1.19259,1.06232,0.63727,0.78794,0.75272,0.34675,1.69369,1.1477,1.0455,0.000524867,0.000524867,0.000524867
4,334.647,1.76769,1.18199,1.04806,0.82485,0.82786,0.84524,0.38921,1.69161,1.06046,1.04892,0.000524844,0.000524844,0.000524844
5,416.372,1.75045,1.13396,1.04244,0.7545,0.80188,0.79044,0.35553,1.69714,1.08574,1.0462,0.000523947,0.000523947,0.000523947
6,498.856,1.73742,1.12089,1.03778,0.76721,0.82802,0.8281,0.40308,1.60455,1.01873,1.01809,0.000522794,0.000522794,0.000522794
7,581.051,1.68965,1.06951,1.02298,0.78429,0.82873,0.82732,0.40212,1.62607,0.99009,1.0251,0.000521388,0.000521388,0.000521388
8,660.816,1.67302,1.05834,1.01805,0.82289,0.82748,0.83803,0.40632,1.60702,1.01549,1.02329,0.000519729,0.000519729,0.000519729
9,741.032,1.64183,1.01964,1.01575,0.82423,0.81808,0.84187,0.4269,1.57183,0.95825,1.01033,0.00051782,0.00051782,0.00051782
10,820.444,1.62802,1.01444,1.01974,0.85606,0.84785,0.85935,0.43541,1.55578,0.93317,1.00399,0.000515662,0.000515662,0.000515662
11,900.886,1.64355,1.01063,1.00842,0.77848,0.84036,0.86082,0.42985,1.53687,0.95833,0.99531,0.000513257,0.000513257,0.000513257
12,980.984,1.6102,0.97488,1.00877,0.81904,0.84613,0.8553,0.44504,1.52228,0.92217,0.99874,0.000510607,0.000510607,0.000510607
13,1061.26,1.60677,0.9701,1.00513,0.81425,0.84117,0.86419,0.43318,1.55789,0.94812,1.00109,0.000507716,0.000507716,0.000507716
14,1141.15,1.572,0.94502,0.99611,0.83981,0.84339,0.85664,0.45302,1.4916,0.89149,0.99364,0.000504586,0.000504586,0.000504586
15,1223.91,1.56712,0.95047,0.99756,0.82249,0.8386,0.8568,0.43063,1.53379,0.91341,1.00105,0.00050122,0.00050122,0.00050122
16,1307.51,1.55311,0.9077,0.9908,0.84223,0.86329,0.88066,0.46473,1.49397,0.8815,0.98632,0.000497621,0.000497621,0.000497621
17,1390.84,1.55485,0.9204,0.98297,0.86029,0.85694,0.86048,0.45229,1.54511,0.85928,1.00051,0.000493794,0.000493794,0.000493794
18,1472.89,1.55002,0.90639,0.98556,0.86758,0.85173,0.87658,0.47148,1.49128,0.8555,0.98865,0.000489741,0.000489741,0.000489741
19,1556.02,1.51447,0.87224,0.97918,0.84273,0.84853,0.87572,0.4336,1.58719,0.90339,1.00592,0.000485468,0.000485468,0.000485468
20,1638.8,1.53324,0.88595,0.9812,0.85323,0.84725,0.86814,0.46719,1.5149,0.8673,1.00068,0.000480977,0.000480977,0.000480977
21,1721.6,1.50808,0.86723,0.97859,0.8559,0.84887,0.87001,0.48135,1.46823,0.84805,0.98659,0.000476274,0.000476274,0.000476274
22,1804.38,1.5177,0.89182,0.97933,0.87165,0.86877,0.89263,0.49344,1.46773,0.81701,0.9817,0.000471363,0.000471363,0.000471363
23,1886.28,1.48577,0.85751,0.9761,0.86991,0.87187,0.8918,0.49512,1.47433,0.7902,0.98587,0.000466249,0.000466249,0.000466249
24,1968.93,1.47673,0.84892,0.97224,0.84859,0.84811,0.89049,0.48592,1.44933,0.84283,0.97286,0.000460936,0.000460936,0.000460936
25,2051.23,1.47153,0.84784,0.97109,0.86953,0.87459,0.8945,0.50398,1.43467,0.79476,0.97337,0.000455432,0.000455432,0.000455432
26,2133.74,1.46199,0.84153,0.96456,0.82599,0.8602,0.89377,0.50387,1.44138,0.82611,0.97363,0.000449739,0.000449739,0.000449739
27,2216.1,1.44572,0.82999,0.9649,0.87919,0.88128,0.89625,0.49842,1.46674,0.77699,0.97952,0.000443866,0.000443866,0.000443866
28,2298.06,1.44338,0.82083,0.96532,0.84937,0.8565,0.88702,0.48602,1.46011,0.82898,0.97037,0.000437816,0.000437816,0.000437816
29,2380.05,1.4438,0.83282,0.96593,0.84186,0.87204,0.89577,0.49454,1.46675,0.79232,0.97429,0.000431596,0.000431596,0.000431596
30,2462.13,1.43215,0.80258,0.96433,0.88304,0.87845,0.90374,0.51587,1.42146,0.75982,0.97141,0.000425213,0.000425213,0.000425213
31,2544.21,1.41278,0.78857,0.9572,0.8593,0.87967,0.90162,0.49337,1.44234,0.78998,0.964,0.000418672,0.000418672,0.000418672
32,2626.34,1.417,0.78567,0.95818,0.85611,0.85688,0.88953,0.49166,1.39496,0.79055,0.95722,0.00041198,0.00041198,0.00041198
33,2708.37,1.3848,0.77249,0.9499,0.87688,0.87384,0.89967,0.50707,1.45301,0.75879,0.97467,0.000405143,0.000405143,0.000405143
34,2790.41,1.40578,0.77124,0.95504,0.86793,0.87068,0.88603,0.51707,1.4167,0.73372,0.97472,0.000398169,0.000398169,0.000398169
35,2872.77,1.37962,0.75406,0.95123,0.8855,0.89139,0.9058,0.52909,1.38358,0.72066,0.96174,0.000391064,0.000391064,0.000391064
36,2954.93,1.38302,0.74744,0.94556,0.88945,0.88569,0.9054,0.53035,1.3842,0.72096,0.95905,0.000383836,0.000383836,0.000383836
37,3036.96,1.34985,0.73937,0.94433,0.85706,0.88463,0.9084,0.53498,1.35212,0.73659,0.94827,0.00037649,0.00037649,0.00037649
38,3118.94,1.37419,0.75623,0.94539,0.87679,0.88974,0.91097,0.53595,1.34768,0.72527,0.94693,0.000369035,0.000369035,0.000369035
39,3202.69,1.32881,0.72701,0.93861,0.88623,0.89426,0.91285,0.54319,1.36161,0.69466,0.95604,0.000361479,0.000361479,0.000361479
40,3287.22,1.33857,0.71929,0.93655,0.89115,0.89292,0.90761,0.54334,1.363,0.68865,0.95687,0.000353827,0.000353827,0.000353827
